FID,ID,NAME,CITY,STATE,ZIP,TYPE,STATUS,COUNTY,LATITUDE,LONGITUDE,LINES,MAX_VOLT,MIN_VOLT,MAX_INFER,MIN_INFER
2673,306563,UNKNOWN306563,HEARNE,TX,77859,SUBSTATION,NOT AVAILABLE,ROBERTSON,30.859908,-96.600969,3,138,69,Y,Y
2674,306564,UNKNOWN306564,MIDLAND,TX,79706,SUBSTATION,IN SERVICE,MIDLAND,31.967048,-102.175253,3,138,69,N,N
4398,306565,UNKNOWN306565,MUENSTER,TX,76252,SUBSTATION,IN SERVICE,COOKE,33.679499,-97.482086,4,138,-999999,Y,N
3917,309930,UNKNOWN309930,SCOTTSVILLE,TX,75672,SUBSTATION,IN SERVICE,HARRISON,32.543275,-94.254315,1,115,69,Y,Y
3918,309931,UNKNOWN309931,ALLEY,TX,79311,SUBSTATION,IN SERVICE,HALE,33.875887,-101.940918,3,69,13.8,N,N
3919,309934,UNKNOWN309934,PLAINS,TX,79355,SUBSTATION,IN SERVICE,YOAKUM,33.226361,-102.800943,1,115,69,N,N
2675,306567,UNKNOWN306567,TOLBERT,TX,76384,SUBSTATION,IN SERVICE,WILBARGER,34.233983,-99.433968,3,138,69,N,N
2676,306569,UNKNOWN306569,PORT NECHES,TX,77619,SUBSTATION,IN SERVICE,JEFFERSON,29.966328,-93.940137,2,138,69,Y,Y
3922,309940,UNKNOWN309940,CROWELL,TX,79227,NOT AVAILABLE,NOT AVAILABLE,FOARD,33.982151,-99.741619,3,-999999,-999999,N,N
2678,306575,UNKNOWN306575,SULPHUR SPRINGS,TX,75482,SUBSTATION,NOT AVAILABLE,HOPKINS,33.151043,-95.565819,1,138,-999999,Y,N
2680,306577,UNKNOWN306577,DERBY,TX,78061,SUBSTATION,IN SERVICE,FRIO,28.845922,-99.190583,3,138,69,N,N
2681,306578,UNKNOWN306578,IVAN,TX,76424,SUBSTATION,IN SERVICE,STEPHENS,32.895775,-98.779056,3,138,69,N,N
2683,306585,UNKNOWN306585,ROBERT LEE,TX,76945,SUBSTATION,IN SERVICE,COKE,31.9506,-100.597183,1,138,69,Y,Y
2688,306597,UNKNOWN306597,OAK GROVE,TX,75142,SUBSTATION,NOT AVAILABLE,KAUFMAN,32.539565,-96.314078,3,230,69,Y,Y
2690,306600,UNKNOWN306600,WICHITA FALLS,TX,76305,SUBSTATION,IN SERVICE,WICHITA,33.886864,-98.431469,4,138,13.8,N,N
2691,306601,UNKNOWN306601,MISSION,TX,78572,SUBSTATION,IN SERVICE,HIDALGO,26.206609,-98.397785,3,138,69,N,N
2694,306605,UNKNOWN306605,HARWOOD,TX,78632,SUBSTATION,IN SERVICE,GONZALES,29.661075,-97.504564,2,138,69,Y,Y
2695,306608,UNKNOWN306608,BLAIR,TX,79536,SUBSTATION,IN SERVICE,TAYLOR,32.299335,-100.115322,3,138,69,N,N
2696,306609,UNKNOWN306609,MIDLAND,TX,79706,SUBSTATION,NOT AVAILABLE,MIDLAND,31.733337,-101.799448,0,138,69,Y,Y
2697,306612,UNKNOWN306612,ALDINE,TX,77032,SUBSTATION,IN SERVICE,HARRIS,29.964386,-95.382997,2,138,69,N,N
3934,309966,UNKNOWN309966,TERRELL,TX,75161,SUBSTATION,IN SERVICE,KAUFMAN,32.816585,-96.159813,2,-999999,-999999,N,N
2699,306618,UNKNOWN306618,DONNA,TX,78537,SUBSTATION,IN SERVICE,HIDALGO,26.208234,-98.057775,3,138,69,N,N
2700,306620,UNKNOWN306620,LULING,TX,78648,SUBSTATION,IN SERVICE,CALDWELL,29.697516,-97.654321,8,138,69,Y,Y
2701,306621,UNKNOWN306621,CADDO,TX,76429,SUBSTATION,IN SERVICE,STEPHENS,32.731066,-98.702019,2,138,13.8,N,N
2703,306626,UNKNOWN306626,BRACKETTVILLE,TX,78832,SUBSTATION,IN SERVICE,KINNEY,29.323941,-100.391997,1,138,69,N,N
2704,306628,UNKNOWN306628,NORMANDY,TX,78852,SUBSTATION,IN SERVICE,MAVERICK,28.866846,-100.550531,2,138,69,Y,Y
2684,306631,UNKNOWN306631,LAKE BRYAN,TX,77807,SUBSTATION,NOT AVAILABLE,BRAZOS,30.72603,-96.448221,0,138,69,Y,Y
3941,309984,UNKNOWN309984,FLUVANNA,TX,79517,SUBSTATION,IN SERVICE,BORDEN,32.945946,-101.222438,1,-999999,-999999,N,N
2706,306635,UNKNOWN306635,DIBOLL,TX,75941,SUBSTATION,IN SERVICE,ANGELINA,31.193878,-94.795561,3,138,-999999,Y,N
2707,306636,UNKNOWN306636,GLEN ROSE,TX,76043,SUBSTATION,IN SERVICE,SOMERVELL,32.296294,-97.79,2,345,69,N,N
2711,306647,UNKNOWN306647,GRAPELAND,TX,75844,SUBSTATION,NOT AVAILABLE,HOUSTON,31.508477,-95.458394,2,138,-999999,Y,N
2718,306657,UNKNOWN306657,CORBET,TX,75110,SUBSTATION,IN SERVICE,NAVARRO,31.963974,-96.518312,9,345,69,N,N
2719,306658,UNKNOWN306658,HEARNE,TX,77859,SUBSTATION,IN SERVICE,ROBERTSON,30.861867,-96.607256,2,138,69,N,N
2720,306664,UNKNOWN306664,NEYLANDVILLE,TX,75401,SUBSTATION,IN SERVICE,HUNT,33.187713,-96.020179,2,138,69,N,N
3948,309995,UNKNOWN309995,VICTORIA,TX,77904,SUBSTATION,IN SERVICE,VICTORIA,28.8462,-96.973171,2,-999999,-999999,N,N
2723,306670,UNKNOWN306670,WADSWORTH,TX,77414,SUBSTATION,IN SERVICE,MATAGORDA,28.784271,-95.938659,4,138,69,N,N
3950,310010,UNKNOWN310010,PETROLIA,TX,76377,SUBSTATION,NOT AVAILABLE,CLAY,34.012691,-98.23873,1,69,-999999,Y,N
2725,306674,UNKNOWN306674,LA MARQUE,TX,77568,SUBSTATION,IN SERVICE,GALVESTON,29.366196,-94.966699,1,138,69,N,N
2726,306676,UNKNOWN306676,WOODBINE,TX,76240,SUBSTATION,NOT AVAILABLE,COOKE,33.546967,-97.036218,2,138,69,Y,Y
2727,306677,UNKNOWN306677,CORPUS CHRISTI,TX,78410,SUBSTATION,IN SERVICE,NUECES,27.805728,-97.571488,2,138,69,N,N
2729,306688,UNKNOWN306688,SHERMAN,TX,75092,SUBSTATION,IN SERVICE,GRAYSON,33.614622,-96.62643,7,138,69,N,N
2730,306690,UNKNOWN306690,CORPUS CHRISTI,TX,78407,SUBSTATION,IN SERVICE,NUECES,27.811434,-97.444419,1,138,69,N,N
